Review Text,Sentiment Score,Sentiment,sentiment_strength
id give stars could weeks getting deep dive learn habitual neurological level also tips proven strategies combating procrastination stress getting stuck difficult subject areas found using strategies immediately course ultimately helped retain complete course ahead schedule decided enroll course starting software engineering professional certificate coursera glad took course first proven strategies tactics handling stress imposter syndrome getting stuck testtaking checklist get every scenario could derail studies recommend course absolutely everyone high schoolers looking improve grades individuals age attempting learn something new whatever reason regret taking course changed approach learning belief ability learn succeed chosen area study,0.24,Neutral,Weak
youre fence hesitant encourage give go return time investment huge relatively short course much estimated time encompassing supplementary resources plan check time able get strong foundation learn important information pillars cognitive science learning science better equipped think clearly learning works orient studies including practical applications working particular problem range stories science analogies help make material comprehensible quizzes useful tool reinforce understanding concepts pave road deeper understanding speakers also emphasize explicitly implicitly teaching learning fun something take studies thank barb terry involved filming editing preparing course also sincere thanks coursera easy use platform free access,0.62,Positive,Strong
useful interesting course graduated university several yearsthe long graduated felt hard learn faster easiertoo much things make learning planning procrastinated felt fidget frustrated hard concentrate tried best find solution thoughti spent much time learningbut didnt workonce thought learning new things young high iq learned learning learni found terribly wrongfirstly important thing isafter use methods course taughti find self confidence feel fun find learning interestingno frustratedand selfdenial secondlylearning life time workand brain ready iti need know make prepared recommend course left school yearsand want learn also think course useful students study much better thank end sorry grammar mistakesenglish native languei studied myown,0.24,Neutral,Weak
initially thought course going boring looking title course wrong dr barbara oakley one key speaker course humorous person see put efforts content prepare course goes straight point see direct practicality real life also cut downs jargons duhduh easy understand languages really enjoy time learning learn totally reshaped understanding towards testtaking actual best way study benefited lot course let end favourite remark course dr sejnowski truly learned something unless teach others dr barbara oakley dr sejnowski thanks effort course enjoyed time learning struggling testtaking highly recommend consider course believe going momentum change approach learning testtaking,0.35,Neutral,Weak
course gift struggling right personal crisis feeling wrong selection university inability achieve something concrete course proved boundaries inside heads barbara oakley example limits change life selecting new career cannot say absolutely changed course bug changes cannot happen doubts course great helper future changesi worked final assignment weeks really good job good feeling working consistently something achieving results endi started many coursera courses first one going finish finally recommend course everyone literally university example study course gives person understanding belief provide changes lifethanks teaching learn barbara dr terrence sejnowski,0.48,Positive,Weak
simple elegant course introduce fundamentals building good study habits enhance abilities learn retain information topics presented bitesized pieces appropriate speed minitest questions encourage go back newly acquired information polls paragraphs entice reflect learning experiences learning journey course beginner friendly serves wonderfully resource put productive upbeat mindset dealing study appear quite old given presentation style graphics however deter learner production quality still fairly well done course teach amazing secret techniques ace exams rather build solid understanding learn techniques anyone could employ improve learning skills course build skills help live fulfilling life choose use definitely worth shot,0.59,Positive,Strong
want say special thank dr barbara oakley dr terrence sejnowski outstanding course learning learn plans put practice material course share key points friends students associates finding already reviewing notes head next thing accomplish today order pomodoro timer one looks like apple also plans read additional works procrastination memory feel new sense purpose taking course thanks dr oakley dr sejnowski uc san diego coursera folks behind scenes helped make number one popular online course world wondering student number million already successfully completed course end era learning learn maybe watson ai become learn future classroom online home add vr mix anything possible living exciting times,0.44,Neutral,Weak
couldnt imagine better introduction moocs strongly believe course included formal education curriculum obligatory one important ones thats deals basics education learning brain processes involved use properly understanding first place would make huge improvement learning matter skill course could valuable either starting education giving proper tools changing perspective etc advanced learners backing intuitions scientific data dealing misconceptions consolidating presenting knowledge well structured way done layman terms thanks dr oakley kind fun supportive atmosphere another good indicator creators practice preach design course videos served digestible chunks funny attention keeping quizzes little reviews etc overall highly recommended,0.54,Positive,Strong
hello nlp master france developped differents skills learning life coaching erickson hypnosis neuro semantics course good one free excuse anyone wants improve skills learning learn interested functionnal brain even best scientist never talked today strongly recommand read hidden face brain written dominique aubier never read something like sware reveald brain traditions compare crown knowledge scientist knowledge reuniting approach usually describe opposite books probably best top interleaving learning never read thank much maybe day meet dont shall say people know cyrille bikoutamenga aka wallo followed course thank much mrs oakley keep going smiling sharing knowledge,0.61,Positive,Strong
extraordinary course came acquire valuable tools learn efficient would give result ive found exactly tool basically explained via similar framework though always order problem eg hard undestand math scientific explanation reason eg math abstract less connections brain harder recognize patterns tested tool solution eg find create easier grasp physical metaphors create required patterns via side door ive found understood without consistency focus result achieved work learning latter especially actively integrating knowledge course life already see improvements advice want seriously grow please take time patience really understand concepts really integrate life basically youd want integrate valuable tools habits brain good luck,0.21,Neutral,Weak
far one rewarding courses ever taken psychology major really love way dr barbara oakley dr terrence sejnowski discussed many useful learning techniques carefully explained methods work neurologically believe understanding underline neural networks could definitely help us make better use learned course favorite part program actually optional interviews dr oakley many accomplished scientists learners always inspiring getting know learned though would best way learn effectively also admit way class presented one severalminute video one small topic effect quite convenient felt need review concepts could simply look title video recall points involved lecture short class surprisingly rewarding would recommend anyone wants learn better,0.58,Positive,Strong
great course wish learned university studies many years later started university lot misconceptions learn smart way high school pretty easy never learned study hard material subsequently struggled years university course people lack correct learning techniques habits everyone force way university sheer brain power less understanding brain works feed information right way give rest kind rest leverage diffused mode thinking even approach exam skills help achieve staying focused energized even youre busy course well worth time pretty much learned without even looking screen download course listen commute jogging thanks barbara,0.45,Positive,Weak
enjoyed course much thank highly applicable profession teaching really useful nutshell learnt learning thinking memory chunking avoiding procrastination habits testing use analogy metaphors much know directly impact ability learn well advise students learnthe videos short much strain students like working peoplei enjoyed dr barbara oakleys way presenting every topic clear specific ofcourse warm friendly like talking dr terrence sejnowski tends one main video week detailing anatomical aspect brainthere plenty interviews watch lots reading material available though selective however list readthis course rewarding one takeni highly recommend course teachers students even parents understand learning improved,0.52,Positive,Strong
course good helpful teaches many methods learn better like chunking spaced repetition pomodoro technique teachers explain everything simple ways easy understand even expert science dr barbara oakley friendly motivating dr terrence sejnowski explains science clearly make learning feel less scary fun best part course gives tools use right away learned focus better remember stop procrastinating also small quizzes exercises practice learn makes useful course also teaches mistakes part learning important keep trying helped feel confident give something difficult think course perfect students workers anyone wants learn new things better faster short full good advice recommend everyone wants improve learning skills,0.56,Positive,Strong
course ought given freshman year high school freshman year college dr oakley wonderful conduit information week add brain discussed examples world considers brilliant men amazing learn learning well daughters delay noticed brain development baby day day id try teach new word sign language body shape play days later thought okay ill wait try something new shed thing teaching days understand see information comes mind scatters days later feel knowledge chunk forming wow something wish knew many years good learned much learning feel positive best use learn new things great course believe everyone required take course early life refresher later,0.62,Positive,Strong
great compilation tools ideas help people interested honing learn better think class youth educational future career would turned differently loved interviews dr oakley interviewees personal life tidbits lives bringing know learning course really kept engaged relaxed loved course touched human emotion science health teach us learn aware used techniques like anki pomodoro technique bringing everything together topics like interleaving chunking made class eyeopening student relies heavily mooc selfteaching realize shaken insecure outlook learning depend much get info head im ready confident continue virtual learning pretty much subject including terror subject math thank droakley learning learn team,0.44,Neutral,Weak
gorgeous material point view extremely powerful valuable well handson oriented liked way much material presented nice key ideas educated easy remember way already course practiced lot real life eg memory palace technique visually deposit items want remember btw honest wo examples videos wouldnt even dared freaky funny evocative memory images pity thought coming mind knowledge years earlier anyhow happy event never comes late switch back master tough subjects ai artificial intelligence currently part lifelong learning made little step learning learn course im sure speed tremendously thanks much barb oakley terry sejnowski learning learn team kei germany,0.38,Neutral,Weak
good course teaches lot techniques studying test taking well information brains work talks things learn efficient manner less anxious well advice decision making dont cram good nights sleep quite bit talked ive seen places things anki sleeping well test good eating habits exercising doesnt mean applied life nice everything put one place way ratify thats indeed lot valuables knowledge learned pomodoro technique something ive never heard loved currently applying pomodoro apps one im using makes feel like im gamifying learning really fun study way good course anyone wants become better learner,0.63,Positive,Strong
first took course height frustration learning nihongo osaka time studying almost everyday months constantly reading reviewing answering exercises often studied tired study yet could retain information way studying wasnt working wanted know study learn effectively month started taking course applying techniques presented noticed able remember nihongo lessons actually spent less time studying think techniques using studying smarter effective efficient way continue apply techniques relevant situations life also review course every time find still learn something thank much everyone came together make course possible,0.35,Neutral,Weak
highly recommend course anyone concepts applicable students experienced professionals instructors researchers etc todays rapid pace technology advancement find sometimes overwhelming know even start understand new technologies concepts outside profession fact technology within profession rapidly changing owing iot really want understand technologies working tandem industry took course hopes would make approaching new concepts easier greatly exceeded expectations completely novel concepts others things ive years didnt actually name eg diffused mode thinking course easy follow really liked professors seem genuinely nice people want people learn succeed end began highly recommend course,0.59,Positive,Strong
truly outstanding course material useful interesting without intention brag ive always considered decent learner people asked couldnt articulate turns already using technics approached taught course doesnt mean wasnt useful still learn lot understanding wasam successful learning peers teaching staff pleasent listen video editing early windows movie maker style charm works pretty well combination barbaras narration technical fault interviews unequal audio levels thats big deal also interviews bonus also course completely free nice need pay get certificate kind course certificate needed imo totally recommend,0.55,Positive,Strong
amazing experience online course firstly course great structure making easy follow dr oakley dr sejnowki moreover ideas exercises easily applicable daily life matter student already working techniques discussed help every new project try tackle mostly emphasize benefits learning fun acquiring new knowledge shows motivate learn however also reassure hard keep practising beneficial methods course real progress refreshing perspective academic world sadly detriment still focused achievement acquiring deep meaningful knowledge therefore really say great job happy course exists giving us reality check desperately need understand really matters learning thank,0.51,Positive,Strong
course isnt deep ideas learn learning practical actionable least something ive able incorporate daily life actually results professor oakley light hearted fun way presenting ideas interviews lot really interesting people give insights tackling difficult subjects learning self improvement overall dr sanojwski hopefully spelled right gives introductory everyday explanation neurobiology learning taking together professor oakleys lessons gave good mental picture whats happening brain trying learn new things set success learning course likely aimed high school beginning college students feel could really anyone interested improving lives learning something new everyone could benefit learning learn,0.34,Neutral,Weak
thank coursera allowing enroll course free barbara oakley phd dr sejnowski thank excellent instruction course taught lot useful things include thorough understanding brain works learn faster understand subjects deeply perform well tests overcome mental obstacles taking tests effective memorization techniques procrastination instructors teach professionally knowledge skills given style simple comprehend useful revelant practice quizzes accurately represent course material helps students remember well forum large number students peers review assignments quickly give polite feedback course instructors best examples taught come back lessons time glad share learned experienced course sincerely thank,0.65,Positive,Strong
reading havent taken course already please course gamechanger didnt clear goals plans future course inspired start learning new things im currently learning digital marketing loving barbara instructor amazing kind humble helpful explained everything simple engaging way using great examples stories visuals course content welldesigned relevant learned lot learn best example found short working memory also makes creative also learned practical tips tricks overcome procrastination improve memory switch different modes learning think course taught schools make learning fun effective already recommended course friends wonderful experience im happy satisfied,0.68,Positive,Strong
recently started using pomodoro technique create habit regular studying must say works surprisingly good simplicity start turning wifi phone close unnecessary tabs web browser well programs set timer minutes focus specific task without worrying manage finish sometimes means leave lecture video half way paused even unfinished line code thats okay matters fighting procrastination focus process results use breaks stretching away computer thing set day limit specific hour like dr barbara oakley explains course case pm hour stop studying even didnt many pomodoro sessions planned ive noticed look forward studying sessions recommend anyone struggles procrastination go give try,0.34,Neutral,Weak
fantastic insight functioning brain helps identify bad habits thoughts impede learning enjoying course good job mixing theoretical explanations practical tips advices improve learning however dont expect magic shortcuts willing put effort material want learn beginning course might seem little bit simple last weeks really worthwhile specially taking degree complex subject like physics engineering math focus mode brain encouraged diffused mode forgotten albeit much needed al thing considered either unquiet person likes learn constantly simply want learn improve academic performance course give need feel taught first year college,0.34,Neutral,Weak
learning specialist learning learning years coach students grades apply strategies maximize learning subject areas took course hopes would means validate enhance teaching practice clever lectures disappoint learned several new ideas strategies bring practice including interesting test taking strategy linked focused diffuse modes thinking found fascinating applicable able link every lecture previously learned content memory language acquisition attention comprehension especially appreciated lectures short clear instructors obviously well aware research tells us sustained attention practice preach spiraling nature course also helpful brain loves spaced repetition enthused new academic year begin,0.39,Neutral,Weak
one week learning dr barbara oakley dr terrence sejnowski feel ressource looking long time nowadays internet full material personal development achieve miracles fast learning fast reading fast calculating activating different parts brain etc though obviously much trust kind material always looking reliable sources answer many questions learning brain works learning process learning learn offers anyone needs know learning process develops brain time learning much secrets human brain potentialities brain specialists researchers makes course interesting reliable rich resources wellgrounded scientific research uses demonstrate validity learning strategies suggested,0.48,Positive,Weak
excellent course even though professor engineering discipline experienced learning discovered new things course also learned reasons behind aspects learning know intuition experience helpful understand neurological underpinnings certain methods learning studying beneficial concept chunking powerful rational behind metaphors mnemonics memory palace really interesting reasons spaced repetition concepts effective function diffuse mode brain simple pomodoro technique excellent concepts incredibly useful learning engineering concepts languages anything life instructors excellent videos illustrations text well thought highly recommend course anyone level recommended fellow professors graduate undergraduate students children,0.68,Positive,Strong
different brain modes researchproven learning techniques course covers brain works also works brain constant reminder brain powerful tool learners kind could benefit knowing little better besides course give scientific backings ideas changing thoughts really change brain work leisure activities good essential stages learnings etc powerful lifestyle suggestions could help us live better happier efficientlylastly found taking course power tool procrastination minutes day listening videos got start thinking learning methods would usually go productive day trying challenge according suggestions class videos thank great course wish could turn back clock take earlier,0.46,Positive,Weak
dr oakley one top three favorite professors mooc courses content relevant applicable reference taking online classes years teach also eds mph school adult life pleasure take class learned tips help adult students learn better retain information longer also found sharing information anyone trying learn anything new especially complex subjects content builds week quizzes lectures provides indepth references allow dive subject deeper also additional lectures interviews content making really indepth course subject likely appeal students teacher parent employer reading take course well learn help others learn anything better highly recommend course dr oakleys books,0.37,Neutral,Weak
learning learn didnt start course thought would interested took could audit seemed like kind easy class wanted make sure could handle taking course online course turned great would recommend anyone anything especially students school course required high school college students teaches study methods effective memory works procrastination works reduce test anxiety much videos arent always engaging thats lecture theyre cut short pieces easier focus limited amount time rather hour long lecture im really glad took course im grateful dr oakley dr sejnowski allowing people arent enrolled university take youre wondering whether take plunge say,0.59,Positive,Strong
always remain excited learn new skills birthday exactly days todayi counting new skills learned previous year list includes volleyball mandala speed reading journaling etcetera found sister talking course like dream come true looking course kind long good ones often expensive coursera providing qualitative filtered material free cost list skills learn year know techniques like pomodoro planning sleeping using two modes thinking chunking sleeping well exercising memory palace remarkable help astonishing idea stuck mind change reality changing thoughts perseverance important successful rather smart thankyou much barb terry teaching things simple deep way,0.54,Positive,Strong
course barb terry amazing opened many new thinking fronts say developed understanding learn mind works one overcome difficulties learning new things subjects starting course confident able learn course course earlier used start course soon starting never return course help barbs easy instructions say simple teaching techinques started liking course also practising teaching day day life havent changed fully yes changed many things help course great thing must say one take course helpful easy simply beautifully taught instructors thanks valuable inputs making changes many lives wonderful great work,0.72,Positive,Strong
learning software engineer instructor advised us complete course said need learn learn lot study habits learned growing actually ineffective barbara instructor course taught lot bad old habits felt personally attacked fact accurately pinpointed bad study habits better understanding effective productive learner cannot wait see difference much information retain also barbara mentioned download anki works lot medical program students rely get program flashcard system uses spacial recognition may see flashcard made months years know material well enough anyways learned lot interesting things enjoyed barbaras enthusiasm whole program,0.31,Neutral,Weak
started course really didnt know expect terms course material however professors began explain brains work various techniques apply learning happy even overjoyed particularly loved pomodoro technique various rewards began attach learned portion aloting set time studying would think walking related brain energy professor terrence taught modes learning entitled focused diffuse could explain wayfocused mode receiving storing information diffuse retrieving said info state rest would highly recommend course anyone desires effective learning tools implement learning heartiest thank professors barbara oakley terrence sejnowski team creating presenting awesome course,0.69,Positive,Strong
civil engineering student currently final year bachelors th year took course first year since receiving good grades instance grade point first semester civil engineering diverse discipline lot learn numerous concepts course helped make proper approach effective handle difficult subjects semesters semester grade points showed result systematic study pattern learned course instance semester grade points semesters nd rd th th th came significant improvement saw grades well feel mentally prepared subject doesnt matter difficult would like thank instructors course amazing course doubt course deserves ratings happy learning best,0.46,Positive,Weak
top class course presented straight forward practical way give bitsize pieces information easily learn apply learning methods real world get theoretical actually practice preach example end part course ask clear questions secure recall key learnings also short simple practical tests end section supporting development learning course mandatory material additional material interest required addition opportunity review short papers developed fellow pupils opt opted found inspiring people open vunerable situations learning opportunities great course would highly recommend objective support learning well learn tools teaching others,0.42,Neutral,Weak
took course starting place self learning journey ultimately best learning course ive ever taken material easy digest presented engaging format lot room grow first year teaching courses focus teaching students theoretical applications learning course focused teaching participant identify learning strengths work learning difficultiesboth presenters engaging although barbara much better job connecting audience terry featured guest talks really mandatory information presented guest helped bolster topics covered courseall definitely recommend course anyone learning anything ever allows learn theoretical applications give tools understand individual learns,0.54,Positive,Strong
highly informative course fun concise deliverance teachings makes learning learn exceptionally easy course undoubtedly equips many highly effective tools use pursuit knowledge field highly impactful greatly recommended anyone age interested gaining mastery fieldthe knowledge gained course goes beyond realms academic study easily applied many avenues life skill learning essential beneficial course provides knowledge brain works gives key insights harness brain engage deep learning understanding material interviews persons displayed great prowess learning memory allowed captivation motivation humanly possible impactful know worked persons able incorporate methods learning,0.59,Positive,Strong
wonderful course collects various important tidbits information related learning explanation included daily routines make efficient effective learners beauty course collection ideas tools techniques would normally need scan several sources collects presents way useful learners videos short easy grasp rather overloading students information broken smaller chunks ha easier process course mandatory students across world even though educational systems make outcomes quite clear little explanation good way achieve outcomes great work everyone involved highly highly recommended course anybody struggling learning anything new wanting become better learner,0.49,Positive,Weak
really loved course looking forward classes light relaxed packed valuable information say went journey great reflection selfknowledge retention valuable information course introduces various aspects learning process brain memory work tips passing tests general tips presented apply specific academic subjects apply aspect trying understand know class information light clear objective videos new concepts presented us old concepts continually recalled rooting concepts learned memory tests also great value fixing learned offer sincere thanks barbara oakley terrence sejnowski forefront transmitting content also thank entire team behind production incredible course,0.52,Positive,Strong
would highly rate course gives learners types abilities multitude strategies tools think learn adapt learning style theories tools two professors present rich course many voices adding texture learning fabric many amazing interviews really augment ideas put forth even add original ideas strategies interviewed guests good course nice conversation professors oakley sinewski audience well pleasure return lectures videomemory dissect chunks information made personal impressions rethread ideas presented tapestry learning based long carefully spun threads information presented two professors really nice experience course,0.61,Positive,Strong
participating course high point weekly task lists barbara dr terry incredible attitudes motivating encouraging making delight learn exceptional knowledge compile information way easy follow understand offer realistic practical insights backed lot science empirical evidence even apply tools resources recommend throughout course driving ideas home immediate practice found course truly enjoyable incredibly helpful recommended friends family throughout time taking continue helpful age demographic whether midst studies need warm engine back time away learning barb terry remind take charge learning provide tools kind motivation,0.8,Positive,Strong
finishing course say quite useful biologist learn new things structure brain works biologist refresh material although known lot things mentioned course could look side due teachers explanations insides also course helped structure mental tools gave new knowledge moreover noticed began really use big amount methods better learning atmosphere great got lot possitive emotions teachers show use different tools examples whats use tips make videos notice even examples feel actually works recommend course especially want become little bit better version,0.37,Neutral,Weak
years since formal education probably since workbased training primarily took course freshen grey cells prior returning work extended covid furlough also give tips latest thinking assimilating new information going apply online training materials specifically work related became fascinating project right would love spend time looking reading possibly even tackling honours assignments likely list retirement interestit fantastic professionals business teaching research given time freely produce accessible enlightening materials thank dr barbara oakley dr terrence sejnowski star trek generation sharing knowledge give hope humanity right track,0.52,Positive,Strong
lot said course try keep short course refresher sense needed get back track specifically needed get back mindset fosters learning enjoyed course would recommend anyone given cando attitude needed continue assigning time learn new existing subjects moreover opened eyes notion procrastination define little willpower one achieve anythingfull disclosure times temporarily lost focus became bored content primarily due fact using techniques discussed course pomodoro technique would helped tackle course mindful intent anyone interesting fundamentals learning best practices course,0.34,Neutral,Weak
feeling memory slipping maybe need something keep top things spending time studying courses feeling youre getting enough could perhaps want understand little bit brain works get learning learn lecturefocused course offers many great insights tips studying efficiently learning efficientlywhether youre still school long graduated really looked forward next weeks lectures often watched finished course feeling like learned new tools reminded things long forgotten weekly quizzes challenges lecture help ensure understanding finer points week decided take course taking moocs well worth time effort,0.39,Neutral,Weak
course recommend interested best way learn topic effectively efficiently struggling grasp material curious ways navigate tricky exams suffer impostor syndrome dyslexic wanting know recover burnout etc videos quality may seem like th century aughties however course definitely serves purpose drs course live name guide journey without complicated boring jargon youd expect professors renown guests professors appear throughout course expert advice experience dr oakleys engaging personality feat dr terry made lessons even digestible confident materials presented serve reference guide blueprint strategies achieving success academia certifications andor studies,0.35,Neutral,Weak
course like good book wish never ends soon finish want start reading rarely find something insightful perfectly practical video full aha moments keeping busy taking notes going previous notes thinking reflecting generally awe level mastery creators course interviews marked optional really priceless remarkable people skillful interviewer barbara oakley openness supersuccefull people share challenges defeats struggles makes amazing impact ive interested becoming efficient learner life course made confident smarter learning productive thank much course lifechanging gift happy learning us,0.77,Positive,Strong
learning learna coursera mooc beginning innovative learning process creative insight favorable person like professional already completed doctorate long back process skills explained well course able get connected motivated student happy practice pomodoro technique started working studying course also appreciate spaced repetition efficient learning coming behavior science background feel scientific base course strong skills aspect learnt relax learning well experienced joy learning though may highly educated student course always progress end like thank dr barbara oakley dr terrence sejnowski launching course coursera,0.59,Positive,Strong
amazed improvement weeks sometimes used get distracted memorie problems first two weeks bit difficult lack concentration trouble remembering things learning readjust deadlines decided rewatch week two videos paying attention focus reduce distracctions could work mini pomodoro technique starting lest min video would fully concentrate video litle little weeks much easier realized could keep information focused studying didnt get something would go back make sure understanding idea applying tools learning days coming many fun facts brain really interesting material highly recommend course thank team learning learn laila,0.34,Neutral,Weak
absolutely terrific course easy digest perfect first time moocers familiar techniques didnt realize already awesome learning science behind techniques work course definitely informed extremely usefull learning studying techniques highly suggest getting barbaras book well also easy digest intellectually stimulating necessary course excellent tool interleaving learning reading book completing course optional interviews helpful well structure part informative part review part inspirational instructors clearly understand concepts discussing altering habits already experienced big difference learning abilities thank terry barb,0.61,Positive,Strong
excelente curso muy completo recomendado para cualquier persona solo para estudiantes estas tcnicas formas de manejar tus estudios son practicas en cualquier rea de tu vida muchas gracias las personas que permitieron que este curso sea posible gracias por su esfuerzo gran dedicacin los invitados los queridos profesores barbara oakley terrence sejnowski por compartir sus conocimientos por supuesto coursera por estar para todos nosotros en todo momento excellent course complete recommended anyone students techniques ways managing studies practical area life thank much people made course possible thank effort great dedication guests dear teachers barbara oakley terrence sejnowski sharing knowledge course coursera us everything moment,0.75,Positive,Strong
loved course especially short compact videos gave information could use without dry boring additional reading material interviews fascinating biggest positive got course change thinking used believe scores tests determined mostly genetic aptitude even studied smarter harder wouldnt much better applying learned course see couldnt wrong actually enjoy process working interesting doesnt involve much selfhate negative emotions result excessive procrastination im excited sit get stuff done course also encouraged check methods increased productivity id heard like system accountability partners kanban,0.32,Neutral,Weak
completed course introduced ideas concepts seemed helpful interesting learned lot brains doesnt like studying improve learning experience even got tool pomodorotechnique huge help personally finally start developing discipline also liked course lot techniques like spaced repition find direct practice following course course doesnt teach stuff learning actually shows learn course lots problems wrong ideas learning tackled course like idea need really motivated learn often made mistake focusing outcome learning know focus process product comes im glad went,0.41,Neutral,Weak
probably one best mustcompleted courses coursera course might seem first glance old outdated actually isnt even initial publish years ago course still get updates video generative ai utilize learning sessions fascinating even years course tries stayup date also loved utilized tests retrieval practice throughout course provided us great insights learning especially something youre naturally inclined good overall would rate course one essential courses coursera top course make foundation learning especially coursera courses make learning much pleasant effective hope enjoy course get new great insights learning,0.61,Positive,Strong
found course interesting useful think anybody interested learning kind subject skill either intellectual physical gain lot taking course wish known things getting degree university im convinced even kids young taught techniques even details could skipped case another great thing course amazing delivery professor barbara oakley great way talking keeps one paying attention every word ive seen mooc person looks bored like heshe reading text without emphasis professor barbara oakley hand shows right level excitement teaching material looking bored top perfect interviews also interesting five stars sure,0.62,Positive,Strong
really great course currently student nursing degree though aware techniques improve learning always happy encounter reinforce knowledge course set well way topics covered videos readings quizzes interviews interesting helps cement information discussed big shout two teachers barbara terry present information clear simple manner see passionate helping people improve learning skills glad course one ones recommended team members class central able discover doubt anyone stage life learning regret course please enrol give try please enrol enjoy course happy learning also love zombies,0.61,Positive,Strong
learning learn insightful understanding effectively learn anything course discussed brain works take advantage knowledge efficient learning retain weve learned longterm memory importantly avoid illusion competence also covered strategies overcoming procrastination one method pomodoro technique set timer study undistractedly minutes take minute break repeat additionally efficiently switching diffuse mode focus mode studying invaluable information even greatest scientists apply techniques conceive unimaginable inventions discoveries someone venturing new field discipline specifically world data programming believe experience help maximize lifelong learning journey,0.73,Positive,Strong
found course useful appreciate way barbara terence walk us trough course bringing fresh ideas explaining concepts well reflecting broader picture science comes particular subject applies real life examples even astonishing shared experiences encouraged collaboration within class roaster triggering development skills communication research ideas exchange including ones freshly described course teaching others trough reviews also insights works real life practical advises hints tips dos donts comes tests example detailed inspirational interesting suggestions additional materials readings thank passion work keep good job,0.62,Positive,Strong
great course taken years ago would complete different life never late take even middle age like course lot neuroscience research backup learning methods suggested reliable although scientific research base mean away practical purpose fact topics practical learner course helps resolve lot doubts myth learning methods also like optional interview different successful adventurous learner world stories guests encouraging inspiring special learning methods also echo content course strength understanding concepts feel full hope positive mind practical methods begin new learning journey new career,0.41,Neutral,Weak
im med student currently participating help program younger students participated course part preparation first learning course take must say one bestsits short simple accurate course gives small incredible useful tips information perform better actually whatever trying learn focuses way brains work gain knowledge whether artistic scientific even muscular dancing gym etc whatever may facing course probably useful youthe course short demand tremendous amounts time teachers videos excellent quality content also charming kindi must rate course completely recommendany age specially school students college students hey never stop learning feel welcome take,0.58,Positive,Strong
great course everyone even interested learning equip many techniques also apply job life course face several rather complex concepts initially seem difficult understand way dr barbara oakley dr terrence sejnowski present material makes much easier understand use good picture analogies metaphors explain material im native english speaker took course passed tests successfully made believe much learning helped give drop english classes ive learned struggle new concept need approach new angle make understanding smoother important let brain rest time time thanks teaching learn,0.42,Neutral,Weak
course given great motivation lot good ideas approaches selfimprovement good news brain instance doesnt matter age talent current science try something new get success learn effectively teachers dr barbara oakley dr thierry sajnowsky based conclusions experience practices told regular exercises help learn effective believe maybe one advice havent tried yet running according extremely snowing weather kiev understanding helpfulness learning switching mind mode solving difficult problem finish course maybe wont become professor get keys progress learning planning working tasks overcoming procrastination etc learn dont isnt question,0.56,Positive,Strong
undoubtedly best taught course done far coursera believe gained much understanding insights learn smarter deeply course shed much light mind works harness knowledge learning creating attitudes beliefs perceptions beneficial shown apply knowledge habit forming along wsy gained tools approaches applied accross wide range disciplines lecturer barbara oakley captured attention imagination video lectures carefully crafted communicated ideas simple way yet wide scopeand great depth better equiped continue journey life long learning using knowledge gained course better learning leads better solutions course worth investing,0.52,Positive,Strong
